"RelativePath","Bytes","LastWriteTimeUtc","SHA256"
"evaluation\ats\attack_eval_summary.csv","3544","2026-08-16T01:41:48.9837798Z","7C4A073FA4EA94E705A364C9E3C917DFC57BF3CCCF5767D53CE166FA032058FD"
"evaluation\ats\blur\eval_results.pt","31371","2026-08-16T01:12:38.8556122Z","BDDD72641BC5450340CA96C5E3479BDDBD056237115E9A6F256BAA5DCDD9793B"
"evaluation\ats\clean\eval_results.pt","31371","2026-08-16T00:43:41.4539505Z","16365A639498ADB84B15814598818E1E39AA0F862E6D1ABA12FA3633B4E73890"
"evaluation\ats\down_up\eval_results.pt","31371","2026-08-16T01:05:21.2730365Z","6B0721883BD8F076326225B853ADA21D4AF01BE38582EC815C76E569E08668B6"
"evaluation\ats\geom_warp\eval_results.pt","31371","2026-08-16T01:34:15.2469756Z","4EAEE8D5E45A79358D8725BBB6E4800FDDC108EDFF77D3D671A2375FA8000FAD"
"evaluation\ats\jpeg_strong\eval_results.pt","31371","2026-08-16T00:50:54.7558565Z","A43E9C9AAFC120D21960CCAA306C2591D3FBE53116AEC48600B9452EF8309C55"
"evaluation\ats\msg_app_combo\eval_results.pt","31371","2026-08-16T00:58:08.3629269Z","5891B83D7D0EA5D88627805C600461C63DD0DBFD1E889DB69974C60F26DACD0C"
"evaluation\ats\occlusion\eval_results.pt","31371","2026-08-16T01:27:01.7479236Z","8C8ADBE6B5A086D0860AD4775D3860E144EC6BB1C6CB2D371ED3B34B0EBEEF5B"
"evaluation\ats\random_crop\eval_results.pt","31371","2026-08-16T01:19:51.3527890Z","BADB28FABB743C6DD52308E401B08DDA6F514189ADA4524B76A16F5F3B471718"
"evaluation\ats\train_aug_mix\eval_results.pt","31371","2026-08-16T01:41:48.9092410Z","2FDEF8416742B1B3934E785CC098AD2B8FB60E72AB43A168AED6D9D011FEF902"
"evaluation\bandit_ucb\attack_eval_summary.csv","3677","2026-08-16T01:41:48.9827883Z","68A5B9CAE1F5524F3E506CF26ECF4D598625DC31272708E6460EC137AA0B5F4C"
"evaluation\bandit_ucb\blur\eval_results.pt","31371","2026-08-16T01:12:38.8536178Z","4A69FB9AC0A47DB08201FBA77F18554B353FEABEDFA94E2CEEB73FA9F3A11201"
"evaluation\bandit_ucb\clean\eval_results.pt","31371","2026-08-16T00:43:41.4509501Z","95F4ED2E9A9E0C6A526981EB5E0DC193A2348F024949CB8D68A1A8CF59B7560B"
"evaluation\bandit_ucb\down_up\eval_results.pt","31371","2026-08-16T01:05:21.2690294Z","AE3C26E8D54F49FC521480D61D8C41DA60CAD719C0B99C95DC3E5863853EA30F"
"evaluation\bandit_ucb\geom_warp\eval_results.pt","31371","2026-08-16T01:34:15.2434579Z","66311C7C3A93A09688F3F8AAE5963E3BDBF3C50BA43F2FAE6FA3C8D6DCE8975C"
"evaluation\bandit_ucb\jpeg_strong\eval_results.pt","31371","2026-08-16T00:50:54.7538580Z","01909164DCB19973828BED527467DF76BDBB0006B3C7EC3D2FA256620E2D5304"
"evaluation\bandit_ucb\msg_app_combo\eval_results.pt","31371","2026-08-16T00:58:08.3599181Z","0029764AF509BE86C6F6D0A84B1E001747A1BD62D41E705B3D5579BF07BB5D04"
"evaluation\bandit_ucb\occlusion\eval_results.pt","31371","2026-08-16T01:27:01.7458634Z","8A3CBE77CA544CE994C3A49F40D327E681FF58F20EBAC2876D61127EAB336B25"
"evaluation\bandit_ucb\random_crop\eval_results.pt","31371","2026-08-16T01:19:51.3497964Z","C6257399CC9DBA32D6AD52931CF810DA3F175EFD1F906941861B8CCBDCBF3216"
"evaluation\bandit_ucb\train_aug_mix\eval_results.pt","31371","2026-08-16T01:41:48.9062417Z","E0D9809EDCD5A78B8FB9F0076221A34EA50BC94B573D6F2C846347A95035A12E"
"evaluation\bass\attack_eval_summary.csv","3603","2026-08-16T01:41:48.9847795Z","0996044E4D6F0CD6440A987BE60B0C38CBDB164DA17A65A6FB7A8884D636BF20"
"evaluation\bass\blur\eval_results.pt","31371","2026-08-16T01:12:38.8576123Z","CB6F79E3975F6E2B29A864ECCDDB7A36DB208C8146BE4B38E84B4CC665BABB23"
"evaluation\bass\clean\eval_results.pt","31371","2026-08-16T00:43:41.4549536Z","E9D8ADD11E907A9EAE0C4D5BC05D7715835446362D0F33EF0123C0F89CCA25BB"
"evaluation\bass\down_up\eval_results.pt","31371","2026-08-16T01:05:21.2780294Z","0FA6A7D075501A9CD7BAD90D883BB374E77F6B15D7CEB09C5B0CC69380C4C7C8"
"evaluation\bass\geom_warp\eval_results.pt","31371","2026-08-16T01:34:15.2489830Z","7AF81D748E3BD7EB700E632560CC5235352430935F022597CEE8DDAE47FFD88B"
"evaluation\bass\jpeg_strong\eval_results.pt","31371","2026-08-16T00:50:54.7578582Z","F36DB29D695CC019E3E3B60563D966C9374CE38E62B9385D91EBB89E31E20F0F"
"evaluation\bass\msg_app_combo\eval_results.pt","31371","2026-08-16T00:58:08.3659178Z","B1440600888C6E5E90A3C838F14FD1B14968EF6F363EFDE9B0C400FE73B1013E"
"evaluation\bass\occlusion\eval_results.pt","31371","2026-08-16T01:27:01.7499311Z","9BB98FC892E7CC1BD19716CF164565557BE3B79DC31D6501FF7E1F884CDD97FC"
"evaluation\bass\random_crop\eval_results.pt","31371","2026-08-16T01:19:51.3547891Z","34B6463A2D83A7229FCB320D2070CE2374D25E54CFD5098BD39B65F9519C51FA"
"evaluation\bass\train_aug_mix\eval_results.pt","31371","2026-08-16T01:41:48.9162403Z","0D42D32274575A76645D3442CC8B2F0D7211B4E01972290C37AC4D436F191AB2"
"evaluation\metaspidermark_original\attack_eval_summary.csv","3953","2026-08-16T01:41:48.9877879Z","F16AA822AC8720ECD9F02DEB67E1CF548E8778F32E4C358887E21DF19E5A789D"
"evaluation\metaspidermark_original\blur\eval_results.pt","31435","2026-08-16T01:12:38.8605287Z","C6E28D0DD44A801ABAEC00874B85295739CFFBC47EAD63327CC00041A62A21DA"
"evaluation\metaspidermark_original\clean\eval_results.pt","31435","2026-08-16T00:43:41.4589536Z","30B04540B1C4711AE349D796DD83C8447342C18264A1CEC50FD5AEDBEA1AB9A5"
"evaluation\metaspidermark_original\down_up\eval_results.pt","31435","2026-08-16T01:05:21.2875429Z","40E005BED0840B7DD7D4DE9EC566C156C5B333CD4C76B6A104C26F5508C952C3"
"evaluation\metaspidermark_original\geom_warp\eval_results.pt","31435","2026-08-16T01:34:15.2565034Z","B213C6799378CA761D7E3967EC3DD041B7C72BE1B25E8F6062F1A8731124BFC5"
"evaluation\metaspidermark_original\jpeg_strong\eval_results.pt","31435","2026-08-16T00:50:54.7608565Z","0CB8E76C1F4BED96EACC78BB906C60125C72C3A3936845C7224350EB66C69F82"
"evaluation\metaspidermark_original\msg_app_combo\eval_results.pt","31435","2026-08-16T00:58:08.3695219Z","1EB75C7436330C0842E51383D7C02CE78AC93EF87119757E975278F381540098"
"evaluation\metaspidermark_original\occlusion\eval_results.pt","31435","2026-08-16T01:27:01.7529311Z","2E183E396B2092492BAAF5B1A277CF7D61DAF6CCDA04BD79A068DB434DEAFA77"
"evaluation\metaspidermark_original\random_crop\eval_results.pt","31435","2026-08-16T01:19:51.3577922Z","ECC0D9391C3268991CD822421720D18E3A564125DC35D22ADF3818729EF10B2C"
"evaluation\metaspidermark_original\train_aug_mix\eval_results.pt","31435","2026-08-16T01:41:48.9757897Z","06EE28F8909193FEA70E39A7A50458D15391A147ACB8F0BD1B5BD5648345AC31"
"evaluation\uniform\attack_eval_summary.csv","3633","2026-08-16T01:41:48.9807799Z","F37EE0D6C01150CFAF83D6A9AD73C78FB1B4AAE45F6A444F5EC72C1610B3FACA"
"evaluation\uniform\blur\eval_results.pt","31371","2026-08-16T01:12:38.8506180Z","96B3853D6F1F0213A26008F233F4D33C1F089CCA65E339CCCECB42732CD7DC4E"
"evaluation\uniform\clean\eval_results.pt","31307","2026-08-16T00:43:41.4479503Z","CA1937AC27CE1C9BDAE3B84742F86735D0D5793D2F9BE34CFE7014B008B1469B"
"evaluation\uniform\down_up\eval_results.pt","31371","2026-08-16T01:05:21.2670270Z","7C07580B328FB57580155856911A47762EED9FBC28D1B10721A5ACFDA5F11E34"
"evaluation\uniform\geom_warp\eval_results.pt","31371","2026-08-16T01:34:15.2424570Z","068A08948437F11CE75D877675B3A4AC0607902BFB0EEEB8B10F79046CF3A8B3"
"evaluation\uniform\jpeg_strong\eval_results.pt","31371","2026-08-16T00:50:54.7528563Z","582572A10BAFBA880EC70EA63C8AB92D93CCADC7D410AB7FED979FC836BC0F49"
"evaluation\uniform\msg_app_combo\eval_results.pt","31371","2026-08-16T00:58:08.3579177Z","D4778619580A49D8F03D311BADDBE63FF2BF2CDDCBC3C035F8AB5F52E3D9372D"
"evaluation\uniform\occlusion\eval_results.pt","31371","2026-08-16T01:27:01.7448633Z","6D7156AF61778C681B0CB5D3CB4FFEC2BA7BAB7B403A2FBFEBE17EC0BC1D9011"
"evaluation\uniform\random_crop\eval_results.pt","31371","2026-08-16T01:19:51.3467894Z","05B5C06E4FB06C4FA20902F0D297A06A3B77716D71A881A6A336C7A18EF6B922"
"evaluation\uniform\train_aug_mix\eval_results.pt","31371","2026-08-16T01:41:48.9032332Z","D0BE40CD765CD7573A1B5DB79E7C53774F2D955E24EAD761FCDBBF76FED617C3"
"reports\artifact.json","239147","2026-08-16T05:16:55.3720743Z","F186679D4D3ACE0B196A517548B4A356468F90FF076F24AC11F9543E22865348"
"reports\convergence_diagnostics.csv","1541","2026-08-16T05:16:55.3650766Z","C2682B4BBF0862E5BD256D8A8348AAD35D1683477D440941B88947C4BD2781FA"
"reports\patience_diagnostics.csv","625","2026-08-16T05:42:33.5062267Z","2C4517A271DEC680EAEC925DE6698F4E65C16ECEE3EE93C0E83E580A0DA58D42"
"training\shared_state.pth","20466","2026-08-16T00:36:15.2629543Z","07151D620D7C2DF16C63723CCA19906D1A289CE250300E5F47C558E535840568"
"training\controlled_asr_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T21:53:31.3099924Z","0BF8261312C2EBA2D149429E13F8E1162EDEA76592FE4B0369E90FA1B1EC9882"
"training\controlled_asr_seed19980802_steps2000_s8_q8\history.csv","17836","2026-08-16T00:36:14.9722102Z","6ADD8EBDE577E99E20376424B2F9ECB5CCF806F7E2BD197024C6D24FD90278C7"
"training\controlled_asr_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:15.0950852Z","13337A31E1BB094C4B84C15E313DD6F26ADE6C9CFE90828B55B53DB5A0EA22DD"
"training\controlled_ats_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T15:44:17.9842431Z","7FF5CB65F81D3A3426F46412CB3DCF268A288622DE8367C671B83ED928C55AEB"
"training\controlled_ats_seed19980802_steps2000_s8_q8\history.csv","17115","2026-08-16T00:36:14.6576231Z","4131E9AEE0ECA3B73C937B733D71AB30C4A7AAFDA14191BC9AEEA0B82FC0D473"
"training\controlled_ats_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:14.7991852Z","67F70352F69DA2D53289F326404ABB85CCB18DA996308CC46BDF69B27B4FFE7F"
"training\controlled_bandit_ucb_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T14:00:46.4559309Z","86E6E4B300C759CF37C24703BB6FC522EC50947F7AAB85884CB7F588094CA419"
"training\controlled_bandit_ucb_seed19980802_steps2000_s8_q8\history.csv","18145","2026-08-16T00:36:14.5030628Z","1AD9350E6D7D369A92AEFEB6DB19840FD42325832A6FA6348A2AC2F3257372BA"
"training\controlled_bandit_ucb_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:14.6426302Z","A9BD133EF2B60D3424670826B51CA88D6A409B75BB6D44592FC4364254AF1A7D"
"training\controlled_bass_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T14:00:47.4295784Z","4CDE8BD3F1D3CB6FD6445B2AE859CCE2EF012FA68056BA0EA41572258AEC38DB"
"training\controlled_bass_seed19980802_steps2000_s8_q8\history.csv","18354","2026-08-16T00:36:14.8156898Z","0EADE2613F487019A12047A9665A8B870668F96382F20D60B48BD4BBE5ACB90D"
"training\controlled_bass_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:14.9552081Z","DBB94293B2186C565E4FA31AECDE8A0AAACD56148A9E70F14781A58AFAA23BF6"
"training\controlled_metaspidermark_original_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T21:19:17.0215579Z","0BB8384A4D0315889406BBBABA24D0D21FB10AFBA6FE937EC320C08A2F978057"
"training\controlled_metaspidermark_original_seed19980802_steps2000_s8_q8\history.csv","17957","2026-08-16T00:36:15.1082051Z","AC89A3DCDD888B297BC5B65F205021229023C6DDA095EF43BFA39B477E1E37EC"
"training\controlled_metaspidermark_original_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:15.2464394Z","2AF0FE8F94E148DB64FB85FECE02F941C5EC1AE8718D406BF9A62127FD95CD2B"
"training\controlled_uniform_seed19980802_steps2000_s8_q8\best_acc.pth","134842321","2026-08-15T21:53:30.4076390Z","470E1200EC9A1A1A10D80BCE5337953D739A8D598C204165364FC774FE1CEA31"
"training\controlled_uniform_seed19980802_steps2000_s8_q8\history.csv","18281","2026-08-16T00:36:14.2019016Z","7285CA333121B99E8325EA99893F6B487D23725772CA568C784D917DABE2FDCB"
"training\controlled_uniform_seed19980802_steps2000_s8_q8\latest.pth","134841677","2026-08-16T00:36:14.3449659Z","A39CE1D98C06ECF8B8BEB1BDF44868C4096599C86279765D3B0813C1582111A2"
